Crash_Year,Crash_Police_Region,Casualty_Severity,Casualty_AgeGroup,Casualty_Gender,Casualty_RoadUserType,Casualty_Count
2006,South Eastern,Medically treated,Unknown,Unknown,Passenger,26
2004,Central,Hospitalised,Unknown,Unknown,Passenger,1
2003,Brisbane,Minor injury,Unknown,Unknown,Passenger,13
2006,Brisbane,Minor injury,Unknown,Unknown,Motorcyclist,1
2007,Brisbane,Hospitalised,Unknown,Unknown,Passenger,3
2008,Brisbane,Medically treated,Unknown,Unknown,Passenger,16
2004,Central,Minor injury,Unknown,Unknown,Pedestrian,1
2009,Brisbane,Minor injury,Unknown,Unknown,Passenger,10
2005,South Eastern,Medically treated,Unknown,Unknown,Driver,2
2003,Central,Minor injury,Unknown,Unknown,Passenger,6
2011,South Eastern,Hospitalised,Unknown,Unknown,Passenger,3
2009,South Eastern,Minor injury,Unknown,Unknown,Driver,1
2008,Southern,Minor injury,Unknown,Unknown,Passenger,2
2007,Southern,Hospitalised,Unknown,Unknown,Passenger,1
2002,Northern,Medically treated,Unknown,Unknown,Passenger,1
2008,Central,Minor injury,Unknown,Unknown,Driver,1
2003,South Eastern,Hospitalised,Unknown,Unknown,Passenger,2
2001,Southern,Medically treated,Unknown,Unknown,Passenger,1
2006,Southern,Medically treated,Unknown,Unknown,Motorcyclist,1
2009,South Eastern,Minor injury,Unknown,Unknown,Motorcyclist,2
2001,Brisbane,Minor injury,Unknown,Unknown,Motorcyclist,1
2006,Northern,Hospitalised,Unknown,Unknown,Passenger,2
2009,Northern,Minor injury,Unknown,Unknown,Motorcyclist,1
2004,South Eastern,Minor injury,Unknown,Unknown,Driver,1
2003,Southern,Minor injury,Unknown,Unknown,Passenger,2
2009,Brisbane,Medically treated,Unknown,Unknown,Driver,1
2009,Brisbane,Minor injury,Unknown,Unknown,Motorcyclist,1
2012,South Eastern,Medically treated,Unknown,Unknown,Driver,1
2007,South Eastern,Minor injury,30 to 39,Male,Pedestrian,2
2009,Central,Fatality,75 and over,Male,Driver,4
2001,Southern,Fatality,40 to 49,Female,Driver,1
2003,Brisbane,Medically treated,50 to 59,Female,Driver,91
2007,Central,Minor injury,50 to 59,Male,Driver,63
2006,Central,Hospitalised,40 to 49,Male,Driver,46
2006,Brisbane,Minor injury,50 to 59,Female,Driver,83
2002,Central,Minor injury,60 to 74,Male,Driver,20
2007,Southern,Fatality,30 to 39,Male,Passenger,2
2009,Northern,Hospitalised,30 to 39,Male,Driver,42
2001,Northern,Minor injury,30 to 39,Female,Driver,24
2009,Central,Medically treated,30 to 39,Female,Driver,89
2007,Central,Medically treated,75 and over,Male,Passenger,6
2002,South Eastern,Fatality,40 to 49,Male,Motorcyclist,2
2007,South Eastern,Hospitalised,0 to 16,Male,Driver,1
2004,Brisbane,Medically treated,Unknown,Female,Passenger,15
2007,Southern,Medically treated,Unknown,Female,Passenger,9
2004,Brisbane,Minor injury,Unknown,Female,Pedestrian,5
2009,Central,Medically treated,Unknown,Female,Driver,1
2003,South Eastern,Medically treated,Unknown,Female,Bicyclist,1
2004,South Eastern,Medically treated,Unknown,Female,Passenger,3
2008,Central,Hospitalised,Unknown,Female,Passenger,4
2008,Northern,Minor injury,Unknown,Female,Passenger,1
2012,South Eastern,Minor injury,Unknown,Female,Passenger,2
2005,Southern,Hospitalised,Unknown,Female,Passenger,1
2009,Brisbane,Minor injury,Unknown,Female,Pedestrian,1
2003,Central,Hospitalised,Unknown,Female,Passenger,1
2008,Southern,Hospitalised,Unknown,Female,Passenger,1
2005,Brisbane,Minor injury,Unknown,Female,Pedestrian,1
2006,Northern,Medically treated,30 to 39,Male,Passenger,14
2001,Central,Minor injury,30 to 39,Female,Driver,53
2001,Central,Fatality,60 to 74,Male,Driver,7
2001,Southern,Minor injury,17 to 24,Male,Passenger,35
